Property_ID,Included_SPF_analysis,Excluded_SPF_analysis_reason,Whole_dataset_start,Whole_dataset_end,Whole_dataset_duration_days,Cleansed_dataset_start,Cleansed_dataset_end,Cleansed_dataset_duration_days,Selected_window_start,Selected_window_end,Max_quality_score_selected_window,Mean_quality_score_selected_window,SPFH2_selected_window,SPFH3_selected_window,SPFH4_selected_window,Whole_System_Energy_Consumed_selected_window,HP_Energy_Output_selected_window,IH_Energy_Consumed_selected_window,BUH_Energy_Consumed_selected_window,CP_Energy_Consumed_selected_window,Boiler_Energy_Output_selected_window,Difference_SPFH2_SCOP,Proportional_difference_SPFH2_SCOP,Ratio_SPFH2_SCOP,Mean_annual_SH_flow_temp_selected_window,Mean_annual_HW_flow_temp_selected_window,Mean_annual_Return_temp_selected_window,Winter_mean_SH_flow_temp_selected_window,Winter_mean_return_temp_selected_window,Max_SH_flow_temp_selected_window,Flow_>65C_flag_selected_window,Proportion_flow_>65C_selected_window,Temp_cleaning_outcome,SW_proportion_complete_Whole_System_Energy_Consumed,SW_proportion_complete_HP_Energy_Output,SW_proportion_complete_IH_Energy_Consumed,SW_proportion_complete_BUH_Energy_Consumed,SW_proportion_complete_CP_Energy_Consumed,SW_proportion_complete_Boiler_Energy_Output,Acceptable_windows_count,Acceptable_windows_SPFH2_mean,Acceptable_windows_SPFH2_std,Acceptable_windows_SPFH2_median,Acceptable_windows_SPFH3_mean,Acceptable_windows_SPFH3_std,Acceptable_windows_SPFH3_median,Acceptable_windows_SPFH4_mean,Acceptable_windows_SPFH4_std,Acceptable_windows_SPFH4_median,Included_coldest_day_analysis,Coldest_day_start,Coldest_day_COPH4,Coldest_day_External_Air_Temp_mean,Coldest_day_External_Air_Temp_max,Coldest_day_External_Air_Temp_min,Coldest_day_Internal_Air_Temp_mean,Coldest_day_Internal_Air_Temp_max,Coldest_day_Internal_Air_Temp_min,Coldest_day_Whole_System_Energy_Consumed,Coldest_day_HP_Energy_Output,Coldest_day_IH_Energy_Consumed,Coldest_day_BUH_Energy_Consumed,Coldest_day_CP_Energy_Consumed,Coldest_day_Boiler_Energy_Output,CD_proportion_complete_Whole_System_Energy_Consumed,CD_proportion_complete_HP_Energy_Output,CD_proportion_complete_IH_Energy_Consumed,CD_proportion_complete_BUH_Energy_Consumed,CD_proportion_complete_CP_Energy_Consumed,CD_proportion_complete_Boiler_Energy_Output
EOH0067,TRUE,,26/01/2021 14:24,28/09/2023 23:58,975.4,26/01/2021 14:26,28/09/2023 23:56,975.4,06/09/2022,06/09/2023,1,0,2.947,2.89,2.865,2659,7541.9,76.55,0,22.84,,-1.193,-28.83,1.41,40.11,42.03,36.96,41.26,37.98,60.02,FALSE,0,cleaned,0.999,0.999,0.999,,0.999,,608,3.005,0.047,3.005,2.933,0.039,2.941,2.906,0.038,2.911,TRUE,13/12/2022 00:00,2.063,-7.92,-2.77,-11.6,18.77,20.31,16.93,36.73,75.78,0,0,0.26,,1,1,1,,1,
EOH0069,TRUE,,24/03/2021 16:24,14/09/2023 13:50,903.89,25/03/2021 00:00,14/09/2023 13:48,903.58,19/04/2021,19/04/2022,3.3,0.894,2.894,2.894,2.731,2048.41,5593.98,0,0,115.42,4070.61,-0.066,-2.23,1.02,39.58,39.58,34.6,40,35.18,49.41,FALSE,0,cleaned,0.999,1,,,1,0.89,49,2.9,0.023,2.911,2.9,0.023,2.911,2.739,0.026,2.75,FALSE,13/12/2022 00:00,0.073,-5.52,-2.97,-7.94,14.69,15.67,13.82,3.21,0.24,0,0,1.43,50.75,0.587,0.587,,,0.588,0.588
EOH0073,TRUE,,18/05/2021 13:56,29/09/2023 00:00,863.42,18/05/2021 13:58,28/09/2023 23:58,863.42,23/05/2021,23/05/2022,1,0,3.491,3.421,3.147,2938.38,9171.22,75.57,0,235.65,,-0.349,-9.09,1.1,41.12,43.73,37.97,42.7,39.56,60.6,FALSE,0,cleaned,0.999,0.999,0.999,,0.999,,477,3.394,0.073,3.359,3.322,0.074,3.288,3.081,0.053,3.071,TRUE,13/12/2022 00:00,2.581,-1.6,0.49,-3.77,17.77,19.81,16.14,21.67,55.93,0,0,2.1,,1,1,0.999,,1,
EOH0075,TRUE,,22/04/2021 15:02,28/09/2023 23:58,889.37,22/04/2021 15:06,28/09/2023 23:58,889.37,30/05/2022,30/05/2023,3.3,0.56,2.269,2.269,2.056,954.39,1961.88,0,0,89.69,4787.2,,,,39.08,39.08,34.62,40.67,36.54,56.91,FALSE,0,cleaned,0.999,0.999,,,0.999,0.987,521,2.194,0.061,2.17,2.194,0.061,2.17,1.943,0.091,1.899,FALSE,13/12/2022 00:00,0.06,-5.52,-2.97,-7.94,19.32,21.11,16.71,2.74,0.16,0,0,1.19,68.23,1,1,,,1,1
EOH0079,TRUE,,03/08/2021 11:30,28/09/2023 23:58,786.52,04/08/2021 00:00,28/09/2023 23:56,786,16/06/2022,16/06/2023,2,0,4.301,3.927,3.867,3043.26,11428.52,339.47,0,46.55,,0.651,17.83,0.85,37.97,44.32,32.7,42.16,36.42,72.08,TRUE,0.00463,cleaned,0.999,0.999,0.999,,0.999,,413,4.261,0.048,4.28,3.905,0.027,3.914,3.845,0.026,3.854,FALSE,13/12/2022 00:00,4.099,-6.42,-2.6,-8.37,17.4,18.31,15.82,29.02,114.43,4.54,0,0.42,,1,1,1,,1,
EOH0082,TRUE,,04/03/2021 12:30,28/09/2023 23:58,938.48,04/03/2021 12:30,28/09/2023 23:56,938.48,15/03/2022,15/03/2023,2,0.001,3.251,3.243,3.221,4398.25,14153.7,14.43,0,29.72,,-0.889,-21.48,1.27,42.34,43.61,37.63,43.51,38.76,61.15,FALSE,0,cleaned,0.998,0.998,0.998,,0.998,,507,3.276,0.034,3.268,3.266,0.037,3.261,3.244,0.037,3.238,TRUE,13/12/2022 00:00,2.488,-6.42,-2.6,-8.37,18.08,18.86,16.63,56.68,141,0,0,0.33,,1,1,1,,1,
EOH0087,FALSE,Less than 1yr data available,18/05/2021 11:10,14/03/2022 11:34,300.02,18/05/2021 11:12,14/03/2022 11:32,300.01,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,TRUE,07/01/2022 00:00,2.436,1.51,2.85,0.8,,,,15.27,37.2,0,0,0.1,,1,1,1,,1,
EOH0091,TRUE,,16/06/2021 13:18,29/09/2023 00:00,834.45,16/06/2021 13:20,28/09/2023 23:58,834.44,21/07/2022,21/07/2023,2,0.015,3.054,3.054,3.002,2754.61,8270.57,0,0,46.31,,-0.866,-22.1,1.28,36.77,41.66,34.35,39.99,37.15,73.36,TRUE,0.00038,cleaned,0.99,0.99,,,0.99,,431,3.241,0.157,3.197,3.241,0.157,3.197,3.155,0.135,3.107,TRUE,13/12/2022 00:00,2.224,-6.42,-2.6,-8.37,19.43,19.59,19.09,38.07,84.68,0,0,0.44,,1,1,,,1,
EOH0094,TRUE,,16/06/2021 09:32,29/09/2023 00:00,834.6,16/06/2021 09:32,28/09/2023 23:58,834.6,20/10/2021,20/10/2022,2,0.001,3.655,3.655,3.527,5199.2,18336.62,0,0,182.42,,-0.115,-3.05,1.03,34.82,37.71,31.04,36.07,32.14,64.41,FALSE,0,cleaned,0.999,0.999,0.999,,0.999,,445,3.528,0.139,3.467,3.528,0.139,3.467,3.41,0.127,3.353,TRUE,13/12/2022 00:00,2.756,-6.42,-2.6,-8.37,17.5,19.05,15.59,58.02,159.91,0,0,1.43,,1,1,1,,1,
EOH0102,TRUE,,29/01/2021 14:26,29/09/2023 00:00,972.4,29/01/2021 14:28,28/09/2023 23:58,972.4,03/03/2021,03/03/2022,2,0.04,2.956,2.956,2.751,6643.66,18274.46,0,0,462.33,,-0.854,-22.4,1.29,42.22,42.85,39.93,41.26,38.6,63.31,FALSE,0,cleaned,0.979,0.979,0.979,,0.979,,533,2.896,0.381,3.01,2.896,0.381,3.01,2.682,0.344,2.799,TRUE,11/02/2021 00:00,1.29,-7.07,-0.4,-11.9,14.63,15.31,14.06,45.32,58.47,0,0,1.63,,1,1,1,,1,
EOH0105,TRUE,,27/02/2021 13:44,05/10/2022 07:36,584.74,27/02/2021 13:46,05/10/2022 07:34,584.74,14/08/2021,14/08/2022,2,0.004,3.142,3.073,2.916,3642.06,10508.54,111.8,0,185.93,,-0.278,-8.12,1.09,42.5,43.84,38.28,44.57,39.98,58.06,FALSE,0,cleaned,0.996,0.996,0.996,,0.996,,216,3.108,0.037,3.103,3.037,0.041,3.035,2.882,0.039,2.881,TRUE,08/03/2021 00:00,2.408,0.02,0.08,-0.04,19.43,19.45,19.33,39.14,92.56,1.7,0,1.58,,1,1,1,,1,
EOH0107,TRUE,,02/09/2021 12:14,12/09/2023 12:44,740.02,02/09/2021 12:16,12/09/2023 12:44,740.02,27/03/2022,27/03/2023,2,0.08,2.866,2.767,2.717,2443.71,6512.74,126.5,0,44.41,,-0.944,-24.79,1.33,39.11,40.15,36.25,40.24,37.39,57.86,FALSE,0,cleaned,0.951,0.951,0.95,,0.951,,241,2.866,0.027,2.862,2.773,0.027,2.762,2.725,0.028,2.712,TRUE,13/12/2022 00:00,2.439,-6.42,-2.6,-8.37,17.44,18.64,16.8,36,87.82,0,0,0.41,,1,1,1,,1,
EOH0119,TRUE,,22/04/2021 14:28,28/09/2023 23:58,889.4,22/04/2021 14:30,28/09/2023 23:56,889.39,18/07/2022,18/07/2023,1,0.002,2.961,2.799,2.482,2342.8,5644.07,171.42,0,265.1,,-0.969,-24.66,1.33,40.46,44.27,37.83,43,39.87,59.24,FALSE,0,cleaned,0.997,0.997,0.997,,0.997,,439,3.074,0.088,3.09,2.918,0.094,2.932,2.607,0.101,2.616,TRUE,13/12/2022 00:00,1.976,-1.35,1.62,-4.46,14.09,18.2,11.9,24.02,44.19,3.28,0,2.04,,1,1,1,,1,
EOH0121,TRUE,,19/03/2021 17:06,28/09/2023 23:58,923.29,19/03/2021 17:06,28/09/2023 23:56,923.28,22/02/2022,22/02/2023,1,0.001,2.521,2.521,2.521,2635.34,6643.4,0,0,0.01,,-1.039,-29.19,1.41,39.21,45.1,35.5,43.73,39.96,60.16,FALSE,0,cleaned,0.998,0.998,0.998,,0.998,,446,2.571,0.046,2.545,2.571,0.046,2.545,2.571,0.046,2.545,TRUE,17/01/2023 00:00,2.176,-2.27,0.11,-4.29,18.33,19.83,16.86,26.56,57.81,0,0,0,,1,1,1,,1,
EOH0126,TRUE,,27/04/2021 09:12,29/12/2022 16:24,611.3,28/04/2021 00:00,29/12/2022 16:22,610.68,15/05/2021,15/05/2022,2,0.003,2.705,2.657,2.657,4415.64,11610.77,122.88,0,0,,-0.865,-24.24,1.32,34.6,36.12,31.03,35.85,32.34,55.51,FALSE,0,cleaned,0.996,0.996,0.996,,0.996,,245,2.679,0.026,2.685,2.609,0.034,2.613,2.609,0.034,2.613,TRUE,13/12/2022 00:00,1.991,-5.52,-2.97,-7.94,,,,39.25,73.33,4.81,0,0,,1,1,1,,1,
EOH0132,FALSE,Less than 1yr data available,30/09/2021 14:20,28/09/2022 23:58,363.4,30/09/2021 14:22,28/09/2022 23:56,363.4,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,TRUE,17/12/2021 00:00,2.552,0.06,0.1,0,18.33,18.49,18.18,21.11,51.52,2.37,0,0.2,,1,1,1,,1,
EOH0136,FALSE,Less than 1yr usable data,10/12/2020 17:16,09/04/2022 07:20,484.59,10/12/2020 17:16,05/04/2022 22:28,481.22,,,,,,,,,,,,,,,,,,,,,,,,,sensor swaps not checked,,,,,,,,,,,,,,,,,FALSE,31/12/2020 05:48,,-0.3,3.18,-3.3,21.41,23.5,18.56,10.64,,0,0,0,,1,1,,,1,
